sensor_name,timestamp,x,y,z
LSM6DS3,50548,0.67,0.24,0.24
LSM6DS3,55558,0.73,0.67,-0.12
LSM6DS3,60569,0.37,0.06,0.55
LSM6DS3,65580,0.73,0.24,0.43
LSM6DS3,70590,0.37,0.18,0.31
LSM6DS3,75601,0.31,0.18,0.37
LSM6DS3,80613,1.16,0.37,0.37
LSM6DS3,85624,-0.18,0.31,0.12
LSM6DS3,90634,0.24,0.18,0.37
LSM6DS3,95645,0.49,0.06,0.49
LSM6DS3,100657,0.49,0.18,0.37
LSM6DS3,105668,0.24,0.18,0.31
LSM6DS3,110678,0.61,0.18,0.37
LSM6DS3,115689,0.55,0.18,0.37
LSM6DS3,120700,0.55,0.18,0.37
LSM6DS3,125711,0.61,0.18,0.37
LSM6DS3,130721,0.61,0.18,0.37
LSM6DS3,135731,2.14,0.24,0.61
LSM6DS3,140742,0.79,0.18,0.43
LSM6DS3,145752,0.85,0.24,0.49
LSM6DS3,150762,1.28,0.24,0.55
LSM6DS3,155773,0.55,0.24,0.31
LSM6DS3,160783,1.28,0.24,0.43
LSM6DS3,165793,0.79,0.24,0.43
LSM6DS3,170804,0.24,0.18,0.37
LSM6DS3,175814,0.67,0.18,0.43
LSM6DS3,180824,0.67,0.24,0.37
LSM6DS3,185834,0.61,0.24,0.24
LSM6DS3,190845,-0.85,-0.06,-0.18
LSM6DS3,195856,0.55,0.18,0.37
LSM6DS3,200867,0.37,0.31,0.31
LSM6DS3,205877,0.55,0.18,0.37
LSM6DS3,210889,0.31,0.12,0.43
LSM6DS3,215901,0.49,0.18,0.37
LSM6DS3,220914,0.85,0.18,0.43
LSM6DS3,225927,0.67,0.18,0.37
LSM6DS3,230938,0.67,-0.31,0.49
LSM6DS3,235949,0.55,0.24,0.37
LSM6DS3,240960,0.55,0.24,0.37
LSM6DS3,245971,0.49,0.24,0.37
LSM6DS3,250984,0.49,0.24,0.37
LSM6DS3,255996,0.61,0.18,0.37
LSM6DS3,261007,0.55,0.18,0.37
LSM6DS3,266018,0.31,0.24,0.37
LSM6DS3,271030,0.55,0.24,0.37
LSM6DS3,276041,0.49,0.18,0.37
LSM6DS3,281052,0.61,0.24,0.31
LSM6DS3,286064,0.55,0.18,0.43
LSM6DS3,291077,0.49,0.24,0.31
LSM6DS3,296088,0.61,0.24,0.31
LSM6DS3,301099,0.67,0.18,0.43
LSM6DS3,306110,0.61,0.06,0.43
LSM6DS3,311121,0.49,0.18,0.37
LSM6DS3,316133,0.61,0.18,0.43
LSM6DS3,321147,0.43,0.18,0.37
LSM6DS3,326158,0.55,0.24,0.37
LSM6DS3,331168,0.55,0.18,0.37
LSM6DS3,336179,0.61,0.18,0.43
LSM6DS3,341190,0.61,0.18,0.37
LSM6DS3,346201,0.49,0.18,0.37
LSM6DS3,351211,0.43,0.18,0.37
LSM6DS3,356222,0.24,0.24,0.12
LSM6DS3,361233,0.0,0.37,0.24
LSM6DS3,366246,0.49,0.12,0.37
LSM6DS3,371256,0.61,0.12,0.37
LSM6DS3,376267,0.49,0.31,0.43
LSM6DS3,381278,0.73,0.31,0.31
LSM6DS3,386289,0.43,0.18,0.37
LSM6DS3,391299,0.43,0.31,0.31
LSM6DS3,396310,0.43,0.18,0.37
LSM6DS3,401321,0.92,0.18,0.37
LSM6DS3,406331,0.24,0.31,0.43
LSM6DS3,411342,0.67,0.24,0.37
LSM6DS3,416352,0.73,0.18,0.49
LSM6DS3,421363,1.16,0.24,0.24
LSM6DS3,426373,0.55,0.18,0.37
LSM6DS3,431384,0.55,0.24,0.37
LSM6DS3,436394,0.49,0.18,0.37
LSM6DS3,441404,0.55,0.18,0.37
LSM6DS3,446415,0.43,0.18,0.37
LSM6DS3,451426,0.49,0.18,0.37
LSM6DS3,456438,0.55,0.18,0.37
LSM6DS3,461451,0.55,0.18,0.37
LSM6DS3,466462,0.55,0.24,0.37
LSM6DS3,471474,0.55,0.18,0.37
LSM6DS3,476489,0.55,0.24,0.37
LSM6DS3,481499,0.49,0.18,0.37
LSM6DS3,486511,0.61,0.24,0.37
LSM6DS3,702007,0.37,0.37,0.18
LSM6DS3,707017,0.61,0.24,0.37
LSM6DS3,712028,0.55,0.12,0.49
LSM6DS3,717038,0.67,0.24,0.43
LSM6DS3,722051,0.49,0.18,0.24
LSM6DS3,727062,0.61,0.24,0.43
LSM6DS3,732073,0.55,0.24,0.37
LSM6DS3,737085,1.46,0.12,-0.67
LSM6DS3,742095,0.49,0.18,0.37
LSM6DS3,747107,0.18,0.06,0.43
LSM6DS3,752118,0.49,0.18,0.37
LSM6DS3,757129,-0.31,0.0,0.31
LSM6DS3,762142,0.37,0.18,0.37
LSM6DS3,767158,0.31,0.18,0.37
LSM6DS3,772168,0.61,0.24,0.43
LSM6DS3,777180,0.43,0.24,0.43
LSM6DS3,782192,0.18,0.24,0.24
LSM6DS3,787204,0.67,0.24,0.67
LSM6DS3,792215,0.73,0.31,0.43
LSM6DS3,797225,0.06,0.06,0.43
LSM6DS3,802236,1.34,0.31,0.43
LSM6DS3,807247,0.79,0.12,0.31
LSM6DS3,812257,0.79,0.31,0.18
LSM6DS3,817268,0.49,0.24,0.37
LSM6DS3,822279,0.73,0.18,0.37
LSM6DS3,827290,0.43,0.24,0.37
LSM6DS3,832301,0.49,0.24,0.31
LSM6DS3,837312,0.55,0.24,0.43
LSM6DS3,842323,0.49,0.18,0.37
LSM6DS3,847335,0.55,0.18,0.37
LSM6DS3,852346,0.49,0.18,0.37
LSM6DS3,857357,0.79,0.12,0.55
LSM6DS3,862368,0.49,0.18,0.37
LSM6DS3,867379,0.61,0.18,0.37
LSM6DS3,872392,0.67,0.24,0.43
LSM6DS3,877403,0.12,0.12,0.31
LSM6DS3,882414,0.55,0.18,0.37
LSM6DS3,887425,0.67,0.18,0.43
LSM6DS3,892436,0.55,0.18,0.37
LSM6DS3,897447,0.61,0.24,0.37
LSM6DS3,902458,0.61,0.18,0.37
LSM6DS3,907469,0.37,0.24,0.31
LSM6DS3,912480,0.92,0.24,0.43
LSM6DS3,917491,0.24,0.18,0.37
LSM6DS3,38696,0.55,0.18,0.37
LSM6DS3,43701,0.43,0.24,0.31
LSM6DS3,48711,0.61,0.24,0.31
LSM6DS3,53721,0.61,0.18,0.37
LSM6DS3,58732,0.49,0.18,0.37
LSM6DS3,63743,0.61,0.18,0.37
LSM6DS3,68754,0.61,0.18,0.43
LSM6DS3,73765,0.12,0.18,0.43
LSM6DS3,78775,0.49,0.24,0.31
LSM6DS3,83786,0.49,0.31,0.24
LSM6DS3,88796,0.49,0.18,0.43
LSM6DS3,93806,0.67,0.18,0.43
LSM6DS3,98819,0.49,0.18,0.37
LSM6DS3,103829,0.55,0.43,0.43
LSM6DS3,108841,0.49,0.24,0.31
LSM6DS3,113853,0.61,0.18,0.43
LSM6DS3,118865,0.55,0.12,0.61
LSM6DS3,123875,0.61,0.24,0.37
LSM6DS3,128889,0.73,0.12,0.31
LSM6DS3,133900,0.61,-0.73,0.12
LSM6DS3,138912,0.49,0.18,0.37
LSM6DS3,143922,0.55,0.24,0.37
LSM6DS3,148934,0.55,0.18,0.37
LSM6DS3,153945,0.55,0.18,0.37
LSM6DS3,158957,0.49,0.18,0.37
LSM6DS3,163967,0.55,0.31,0.43
LSM6DS3,168979,0.43,0.24,0.31
LSM6DS3,173990,0.61,0.31,0.31
LSM6DS3,179000,0.31,0.85,0.98
LSM6DS3,184012,0.61,0.24,0.37
LSM6DS3,189022,0.61,0.24,0.37
LSM6DS3,194035,0.61,0.24,0.31
LSM6DS3,199047,0.49,0.18,0.43
LSM6DS3,204059,-0.12,0.49,0.49
LSM6DS3,209072,0.67,0.18,0.37
LSM6DS3,214086,0.61,0.18,0.37
LSM6DS3,219096,0.55,0.18,0.37
LSM6DS3,224108,0.49,0.18,0.37
LSM6DS3,229120,0.55,0.18,0.37
LSM6DS3,234131,0.61,0.24,0.37
LSM6DS3,239142,0.55,0.18,0.43
LSM6DS3,244152,0.61,0.24,0.31
LSM6DS3,249162,0.61,0.24,0.37
LSM6DS3,254172,0.61,0.24,0.37
LSM6DS3,259182,0.55,0.18,0.37
LSM6DS3,264191,0.43,0.24,0.37
LSM6DS3,269201,0.61,0.24,0.37
LSM6DS3,274211,0.61,0.18,0.37
LSM6DS3,279221,0.67,0.24,0.37
LSM6DS3,284231,0.49,0.18,0.37
LSM6DS3,289242,0.55,0.18,0.37
LSM6DS3,294252,0.37,0.24,0.43
LSM6DS3,299261,0.73,0.06,0.43
LSM6DS3,304271,0.43,0.18,0.43
LSM6DS3,309281,0.43,0.18,0.37
LSM6DS3,314291,0.49,0.18,0.37
LSM6DS3,319301,0.55,0.18,0.37
LSM6DS3,324311,0.49,0.18,0.37
LSM6DS3,329320,0.55,0.43,0.12
LSM6DS3,334330,0.43,0.18,0.31
LSM6DS3,339340,0.67,0.18,0.37
LSM6DS3,344349,0.55,0.18,0.43
LSM6DS3,349359,0.61,0.24,0.37
LSM6DS3,354369,0.55,0.18,0.55
LSM6DS3,359378,0.43,0.12,0.43
LSM6DS3,364388,0.61,0.24,0.37
LSM6DS3,369398,0.55,0.18,0.37
LSM6DS3,374408,0.49,0.24,0.37
LSM6DS3,379417,0.61,0.24,0.37
LSM6DS3,384427,0.55,0.12,0.37
LSM6DS3,389437,0.49,0.18,0.37
LSM6DS3,394447,0.67,0.18,0.43
LSM6DS3,399458,0.61,0.18,0.37
LSM6DS3,404468,0.55,0.24,0.37
LSM6DS3,409479,0.49,0.24,0.43
LSM6DS3,414490,0.55,0.24,0.37
LSM6DS3,419502,0.55,0.31,0.37
LSM6DS3,424513,0.49,0.18,0.37
LSM6DS3,429524,0.61,0.12,0.43
LSM6DS3,434535,0.73,0.24,0.43
LSM6DS3,439545,0.61,0.24,0.37
LSM6DS3,444557,0.49,0.24,0.37
LSM6DS3,449568,0.55,0.24,0.37
LSM6DS3,454579,0.55,0.24,0.31
LSM6DS3,459591,0.55,0.18,0.37
LSM6DS3,464603,0.55,0.24,0.31
LSM6DS3,469614,0.61,0.18,0.43
LSM6DS3,474625,0.73,0.0,0.43
LSM6DS3,479636,-0.31,-0.49,0.55
LSM6DS3,484647,0.12,-0.18,0.43
LSM6DS3,489660,1.71,1.28,0.18
LSM6DS3,494672,1.34,0.43,0.49
LSM6DS3,499683,0.37,0.31,0.24
LSM6DS3,504693,0.37,0.18,0.37
LSM6DS3,509703,0.73,0.24,0.24
LSM6DS3,514713,0.18,0.31,0.18
LSM6DS3,519724,0.43,0.06,0.37
LSM6DS3,524735,0.37,0.18,0.37
LSM6DS3,529746,0.73,0.49,0.24
LSM6DS3,534757,0.79,0.24,0.43
LSM6DS3,539769,0.49,0.18,0.37
LSM6DS3,544780,0.12,0.12,0.31
LSM6DS3,549791,0.37,0.24,0.31
LSM6DS3,554802,0.73,0.18,0.43
LSM6DS3,559813,1.53,0.31,0.55
LSM6DS3,564826,0.37,0.24,0.31
LSM6DS3,569838,0.49,0.24,0.37
LSM6DS3,574849,0.73,0.18,0.43
LSM6DS3,579861,0.73,0.24,0.37
LSM6DS3,584875,0.37,0.12,0.37
LSM6DS3,589887,0.31,0.31,0.31
LSM6DS3,594901,0.49,0.18,0.31
LSM6DS3,599912,0.43,0.18,0.31
LSM6DS3,604924,0.79,0.24,0.43
LSM6DS3,609937,0.49,0.18,0.37
LSM6DS3,614948,0.31,0.24,0.31
LSM6DS3,619960,0.49,0.24,0.37
LSM6DS3,624970,0.43,0.55,0.24
LSM6DS3,629983,0.37,0.18,0.37
LSM6DS3,634993,0.49,0.18,0.37
LSM6DS3,640004,0.55,0.18,0.43
LSM6DS3,645014,0.49,0.24,0.37
LSM6DS3,650025,0.49,0.24,0.43
LSM6DS3,655036,0.67,0.18,0.37
LSM6DS3,660046,0.55,0.24,0.43
LSM6DS3,665056,0.43,0.06,0.49
LSM6DS3,670067,0.49,-0.06,0.67
LSM6DS3,675080,0.49,0.18,0.37
LSM6DS3,680091,1.1,0.31,0.49
LSM6DS3,685101,0.43,0.18,0.37
LSM6DS3,690110,0.24,0.18,0.31
LSM6DS3,695121,0.43,0.18,0.37
LSM6DS3,700134,0.85,0.31,0.37
LSM6DS3,705147,0.37,0.18,0.37
LSM6DS3,710160,0.55,0.24,0.37
LSM6DS3,715171,0.55,0.24,0.37
LSM6DS3,720181,0.61,0.12,0.49
LSM6DS3,725192,0.67,0.24,0.37
LSM6DS3,730202,0.43,0.18,0.37
LSM6DS3,735214,0.55,0.18,0.31
LSM6DS3,740225,0.79,0.24,0.37
LSM6DS3,745238,54.38,-32.78,36.32
LSM6DS3,750248,0.49,0.12,0.49
LSM6DS3,755261,0.55,0.24,0.31
LSM6DS3,760271,0.61,0.24,0.37
LSM6DS3,765282,0.55,0.31,0.37
LSM6DS3,770293,0.55,0.18,0.37
LSM6DS3,775303,0.49,0.18,0.43
LSM6DS3,780314,0.55,0.31,0.31
LSM6DS3,785324,0.55,0.18,0.37
LSM6DS3,790334,0.61,0.24,0.37
LSM6DS3,795347,0.18,0.24,0.43
LSM6DS3,800357,1.46,0.55,0.43
LSM6DS3,805367,0.61,0.18,0.37
LSM6DS3,810377,0.79,0.31,0.37
LSM6DS3,815388,0.73,0.24,0.43
LSM6DS3,820399,1.53,0.37,0.31
LSM6DS3,825412,0.31,0.0,0.49
LSM6DS3,830425,-0.06,0.12,0.37
LSM6DS3,835436,0.79,0.31,0.37
LSM6DS3,840448,0.55,0.12,0.37
LSM6DS3,845458,0.24,0.18,0.37
LSM6DS3,850469,0.73,0.31,0.31
LSM6DS3,855480,0.24,0.06,0.43
LSM6DS3,860493,0.24,0.18,0.37
LSM6DS3,865503,0.73,0.31,0.43
LSM6DS3,870514,0.24,0.12,0.37
LSM6DS3,875528,0.43,0.18,0.37
LSM6DS3,880538,0.43,0.18,0.43
LSM6DS3,885551,0.31,0.06,0.37
LSM6DS3,890561,0.43,0.12,0.37
LSM6DS3,895572,0.24,0.12,0.43
LSM6DS3,900584,0.92,0.31,0.43
LSM6DS3,905597,0.18,0.12,0.31
LSM6DS3,910608,0.43,0.06,0.37
LSM6DS3,915621,0.85,0.31,0.43
LSM6DS3,920633,0.18,0.06,0.31
LSM6DS3,925644,0.61,0.18,0.37
LSM6DS3,930658,0.55,0.24,0.37
LSM6DS3,935671,0.61,0.24,0.37
LSM6DS3,940684,0.67,0.43,0.37
LSM6DS3,945694,0.79,0.31,0.37
LSM6DS3,950705,0.73,0.24,0.43
LSM6DS3,955715,0.43,0.18,0.37
LSM6DS3,960726,0.61,0.18,0.43
