timestamp,gyro_x,gyro_y,gyro_z
163700.0,-0.12,0.0,0.0
163800.0,0.37,0.37,0.06
163900.0,0.06,0.18,0.06
164000.0,0.37,0.31,0.12
164100.0,-0.18,-0.61,0.06
164200.0,-0.18,0.12,0.0
164300.0,0.0,0.0,0.06
164400.0,-0.55,0.12,-0.12
164500.0,-0.55,-0.12,-0.06
164600.0,-0.12,-0.12,0.0
164700.0,0.0,0.06,0.06
164800.0,1.34,1.4,0.24
164900.0,-0.18,0.12,0.06
165000.0,0.12,0.0,0.06
165100.0,0.06,0.06,0.12
165200.0,0.24,0.18,0.12
165300.0,0.06,0.12,0.12
165400.0,0.24,0.24,0.06
165500.0,0.18,0.18,0.06
165600.0,0.12,0.18,0.06
165700.0,0.06,0.18,0.06
165800.0,0.31,0.37,0.06
165900.0,-0.06,-0.06,0.06
166000.0,0.06,0.0,0.12
166100.0,0.24,0.24,0.06
166200.0,0.12,0.12,0.12
166300.0,0.31,0.24,0.12
166400.0,0.18,0.12,0.12
166500.0,0.06,0.12,0.12
166600.0,0.12,0.06,0.06
166700.0,0.12,0.12,0.12
166800.0,0.06,0.12,0.12
166900.0,0.06,0.18,0.18
167000.0,0.06,0.18,0.12
167100.0,0.18,0.18,0.06
167200.0,-0.06,0.18,0.12
167300.0,0.18,0.18,0.12
167400.0,0.18,0.12,0.06
167500.0,0.18,0.12,0.12
167600.0,0.12,0.18,0.06
167700.0,0.18,0.24,0.12
167800.0,0.18,0.18,0.06
167900.0,0.12,0.12,0.12
168000.0,0.24,0.24,0.06
168100.0,0.24,0.31,0.12
168200.0,0.12,0.06,0.06
168300.0,0.12,0.12,0.06
168400.0,0.18,0.18,0.06
168500.0,0.12,0.06,0.06
168600.0,0.12,0.12,0.12
168700.0,0.18,0.24,0.06
168800.0,0.12,0.18,0.06
168900.0,0.12,0.18,0.06
169000.0,0.12,0.12,0.06
169100.0,0.06,0.12,0.06
169200.0,0.12,0.18,0.12
169300.0,0.12,0.0,0.12
169400.0,0.18,0.12,0.12
169500.0,0.31,0.31,0.12
169600.0,0.12,0.24,0.06
169700.0,0.18,0.24,0.06
169800.0,0.31,0.24,0.12
169900.0,0.18,0.12,0.12
170000.0,0.12,0.18,0.12
170100.0,0.18,0.12,0.12
170200.0,0.18,0.24,0.06
170300.0,0.12,0.18,0.06
170400.0,0.31,0.12,0.12
170500.0,0.06,0.06,0.12
170600.0,0.18,0.18,0.12
170700.0,0.18,0.31,0.06
170800.0,0.18,0.12,0.12
170900.0,0.18,0.06,0.12
171000.0,0.12,0.12,0.06
171100.0,0.12,0.12,0.06
171200.0,0.06,0.18,0.06
171300.0,0.12,0.12,0.06
171400.0,0.18,0.24,0.12
171500.0,0.67,1.16,0.24
171600.0,0.31,0.43,0.18
171700.0,-2.99,0.18,-0.98
171800.0,0.49,1.04,0.06
171900.0,-0.43,-0.43,0.06
172000.0,0.06,0.31,0.06
172100.0,2.75,1.28,0.49
172200.0,-0.31,0.0,0.06
172300.0,0.18,0.49,0.06
172400.0,0.24,0.18,0.12
172500.0,0.06,0.18,0.12
172600.0,0.12,0.12,0.06
172700.0,0.31,0.31,0.12
172800.0,-0.12,0.12,0.06
172900.0,0.31,0.31,0.12
173000.0,0.06,0.12,0.06
173100.0,0.0,0.24,0.0
173200.0,0.37,0.24,0.12
173300.0,-0.06,-0.18,0.06
173400.0,0.73,0.24,0.24
173500.0,0.73,0.0,0.31
173600.0,-0.12,0.06,0.06
173700.0,0.12,0.18,0.12
173800.0,0.18,0.24,0.06
173900.0,0.12,0.18,0.06
174000.0,-0.06,0.18,0.24
174100.0,0.24,0.12,0.06
174200.0,-0.06,0.12,0.06
174300.0,0.18,0.18,0.06
174400.0,0.0,0.06,0.06
174500.0,0.31,0.18,0.12
174600.0,0.18,0.24,0.06
174700.0,0.37,0.49,0.12
174800.0,-0.12,0.18,0.06
174900.0,1.46,1.1,0.24
175000.0,-0.06,0.43,-0.06
175100.0,-0.06,0.06,0.0
175200.0,0.0,0.18,0.12
175300.0,-0.06,0.06,0.06
175400.0,-0.85,0.79,-0.06
175500.0,0.31,0.73,0.12
175600.0,0.31,0.18,0.12
175700.0,-0.37,-0.24,0.06
175800.0,-0.18,-0.24,0.06
175900.0,0.0,0.0,0.06
176000.0,-0.67,-0.37,-0.18
176100.0,-0.31,0.18,0.06
176200.0,0.31,0.24,0.06
176300.0,0.18,0.18,0.06
176400.0,-0.06,0.0,0.06
176500.0,-0.06,0.0,0.06
176600.0,0.18,0.24,0.12
176700.0,0.31,0.31,0.12
176800.0,0.37,0.18,0.18
176900.0,0.31,0.18,0.18
177000.0,-0.06,-0.06,0.06
177100.0,1.22,0.43,0.24
177200.0,0.12,0.31,0.12
177300.0,0.0,0.18,0.06
177400.0,0.18,0.24,0.12
177500.0,0.12,0.18,0.06
177600.0,0.37,0.37,0.12
177700.0,0.0,0.06,0.06
177800.0,0.06,0.24,0.0
177900.0,-1.46,0.55,-0.67
178000.0,0.49,0.79,0.06
178100.0,0.61,0.43,0.18
178200.0,0.18,0.18,0.12
178300.0,0.0,0.0,0.06
178400.0,0.31,0.18,0.06
178500.0,0.06,0.12,0.12
178600.0,0.18,0.18,0.12
178700.0,0.18,0.12,0.06
178800.0,0.06,0.06,0.12
178900.0,0.06,0.12,0.06
179000.0,0.12,0.12,0.06
179100.0,0.12,0.12,0.12
179200.0,0.18,0.24,0.06
179300.0,0.24,0.18,0.12
179400.0,0.12,0.24,0.12
179500.0,0.12,0.18,0.06
179600.0,-2.38,0.79,-0.49
179700.0,-0.55,0.31,-0.06
179800.0,0.61,0.12,0.18
179900.0,0.49,0.49,0.12
180000.0,-1.22,-0.67,-0.24
180100.0,0.43,0.43,0.18
180200.0,0.12,0.18,0.06
