Time,Temperature,Humidity
23:51:11,21.0,65.0
23:51:15,23.0,70.0
23:51:19,25.0,75.0
23:51:23,27.0,80.0
23:51:27,29.0,85.0
23:51:31,31.0,90.0
23:51:35,33.0,92.0
23:51:39,35.0,94.0
23:51:43,37.0,95.0
23:51:47,39.0,96.0
23:51:51,40.0,97.0
23:51:55,38.0,95.5
23:51:59,36.0,94.0
23:52:03,34.0,92.5
23:52:07,32.0,91.0
23:52:11,30.0,89.5
23:52:15,28.0,88.0
23:52:19,26.0,86.5
23:52:23,24.0,85.0
23:52:27,22.0,83.5
23:52:31,20.0,82.0
23:52:35,18.0,80.5
23:52:39,16.0,79.0
23:52:43,14.0,77.5
23:52:47,12.0,76.0
23:52:51,10.0,74.5
23:52:55,8.0,73.0
23:52:59,6.0,71.5
23:53:03,4.0,70.0
23:53:07,2.0,68.5
23:53:11,0.0,67.0
23:53:15,1.0,68.0
23:53:19,3.0,69.0
23:53:23,5.0,70.0
23:53:27,7.0,71.0
23:53:31,9.0,72.0
23:53:35,11.0,73.0
23:53:39,13.0,74.0
23:53:43,15.0,75.0
23:53:47,17.0,76.0
23:53:51,19.0,77.0
23:53:55,21.0,78.0
23:53:59,23.0,79.0
23:54:03,25.0,80.0
23:54:07,27.0,78.5
23:54:11,29.0,77.0
23:54:15,31.0,75.5
23:54:19,33.0,74.0
23:54:23,35.0,72.5
23:54:27,37.0,71.0
23:54:31,39.0,69.5
23:54:35,40.0,68.0
23:54:39,38.5,69.0
23:54:43,37.0,70.0
23:54:47,35.5,71.0
23:54:51,34.0,72.0
23:54:55,32.5,73.0
23:54:59,31.0,74.0
23:55:03,29.5,75.0
23:55:07,28.0,76.0
23:55:11,26.5,77.0
23:55:15,25.0,78.0
23:55:19,23.5,79.0
23:55:23,22.0,80.0
23:55:27,20.5,81.0
23:55:31,19.0,82.0
23:55:35,17.5,83.0
23:55:39,16.0,84.0
23:55:43,14.5,85.0
23:55:47,13.0,86.0
23:55:51,11.5,87.0
23:55:55,10.0,88.0
23:55:59,8.5,89.0
23:56:03,7.0,90.0
23:56:07,5.5,91.0
23:56:11,4.0,92.0
23:56:15,2.5,93.0
23:56:19,1.0,94.0
23:56:23,0.0,95.0
23:56:27,1.5,93.5
23:56:31,3.0,92.0
23:56:35,4.5,90.5
23:56:39,6.0,89.0
23:56:43,7.5,87.5
23:56:47,9.0,86.0
23:56:51,10.5,84.5
23:56:55,12.0,83.0
23:56:59,13.5,81.5
23:57:03,15.0,80.0
23:57:07,16.5,78.5
23:57:11,18.0,77.0
23:57:15,19.5,75.5
23:57:19,21.0,74.0
23:57:23,22.5,72.5
23:57:27,24.0,71.0
23:57:31,25.5,69.5
23:57:35,27.0,68.0
23:57:39,28.5,66.5
23:57:43,30.0,65.0
23:57:47,31.5,63.5
23:57:51,33.0,62.0
23:57:55,34.5,60.5
23:57:59,36.0,59.0
23:58:03,37.5,57.5
23:58:07,39.0,56.0
23:58:11,40.0,54.5
23:58:15,38.0,56.0
23:58:19,36.0,57.5
23:58:23,34.0,59.0
23:58:27,32.0,60.5
23:58:31,30.0,62.0
23:58:35,28.0,63.5
23:58:39,26.0,65.0
23:58:43,24.0,66.5
23:58:47,22.0,68.0
23:58:51,20.0,69.5
23:58:55,18.0,71.0
23:58:59,16.0,72.5
23:59:03,14.0,74.0
